Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD_TestSuite_02,,,2019-02-01 11:48:56,2019-02-01 11:49:11,14.853s,PASSED
,,,,,,
Test Cases/TestHttpMethods,,,2019-02-01 11:48:58,2019-02-01 11:49:11,13.314s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/CreateUser""))",,,2019-02-01 11:49:00,2019-02-01 11:49:08,8.312s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/UpdateUser""))",,,2019-02-01 11:49:08,2019-02-01 11:49:09,1.051s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/ListUserRestAPI""))",,,2019-02-01 11:49:09,2019-02-01 11:49:10,1.041s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/DeleteUser""))",,,2019-02-01 11:49:10,2019-02-01 11:49:11,0.648s,PASSED
