Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD_TestSuite_02,,,2019-02-01 15:50:51,2019-02-01 15:51:09,17.330s,PASSED
,,,,,,
Test Cases/TestHttpMethods,,,2019-02-01 15:50:53,2019-02-01 15:51:09,15.906s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/CreateUser""))",,,2019-02-01 15:50:54,2019-02-01 15:51:06,11.884s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/UpdateUser""))",,,2019-02-01 15:51:06,2019-02-01 15:51:07,0.851s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/ListUserRestAPI""))",,,2019-02-01 15:51:07,2019-02-01 15:51:08,0.922s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/DeleteUser""))",,,2019-02-01 15:51:08,2019-02-01 15:51:09,0.784s,PASSED
